time,engine_rpm,engine_torque_nm,throttle_pos_pct,brake_press_front_bar,brake_press_rear_bar,speed_kmh,gear,clutch_slip_rpm,wheel_speed_front_rps,wheel_speed_rear_rps,wheel_slip_rear_pct,lat_accel_g,long_accel_g,vert_accel_g,roll_angle_deg,pitch_angle_deg,yaw_rate_degs,steering_angle_deg,susp_travel_front_mm,susp_travel_rear_mm,damper_vel_front_ms,damper_vel_rear_ms,engine_temp_c,oil_pressure_bar,fuel_flow_lph,lambda_sensor,tire_temp_fl_c,tire_temp_fr_c,tire_temp_rl_c,tire_temp_rr_c,tire_press_fl_bar,tire_press_fr_bar,tire_press_rl_bar,tire_press_rr_bar,glicko_volatility_sigma,glicko_rating,glicko_deviation,lap_distance_m,gps_latitude,gps_longitude,gps_altitude_m,gps_speed_kmh,gps_heading_deg,setup
0.000000,10500.000000,104.285714,100.000000,0.000000,0.000000,92.000000,2,105.000000,13.335387,4.745881,35.000000,0.850000,0.000000,1.000000,-193.418755,0.000000,210.672269,-17.959399,54.677000,54.507750,0.000000,0.000000,98.001667,6.567440,3.675000,0.968740,82.230882,83.316472,86.750000,87.750000,1.902309,1.903165,1.717500,1.717500,0.235909,1499.500000,350.000000,0.255556,36.718602,6.033403,124.718157,92.329658,85.325953,BASELINE
0.010010,10518.555141,104.444758,100.000000,0.000000,0.000000,92.384561,2,105.185551,13.391129,4.754268,35.000000,0.846603,1.088914,1.342404,-192.645854,74.335187,210.707516,-17.803116,108.021584,-9.635701,5.334458,-6.414345,98.003354,6.326601,3.681494,0.970596,81.628877,82.957335,86.750195,87.750195,1.896289,1.899573,1.717502,1.717502,0.235319,1499.000000,350.000000,0.512179,36.718605,6.033406,124.837367,92.505800,86.276817,BASELINE
0.020020,10537.110281,104.603802,100.000000,0.000000,0.000000,92.769468,2,105.371103,13.446921,4.762655,35.000000,0.843220,1.089893,1.354930,-191.876042,74.402053,210.739903,-17.958973,108.003253,-9.743135,-0.001833,-0.010743,98.005062,6.365823,3.687989,0.937402,81.983456,82.704316,86.750390,87.750390,1.899835,1.897043,1.717504,1.717504,0.234728,1498.500000,350.000000,0.769872,36.718607,6.033409,125.211372,92.960279,86.719530,BASELINE
0.030030,10555.665422,104.762846,100.000000,0.000000,0.000000,93.154719,2,105.556654,13.502763,4.771041,35.000000,0.839851,1.090869,1.221123,-191.109305,74.468631,210.769446,-17.208719,107.984981,-9.850122,-0.001827,-0.010699,98.006790,6.148341,3.694483,0.981231,81.981436,82.640809,86.750586,87.750586,1.899814,1.896408,1.717506,1.717506,0.234138,1498.000000,350.000000,1.028635,36.718609,6.033412,124.946009,93.103460,85.243672,BASELINE
0.040040,10574.220562,104.921891,100.000000,0.000000,0.000000,93.540313,2,105.742206,13.558655,4.779428,35.000000,0.836495,1.091840,1.367134,-190.345633,74.534921,210.796160,-17.636631,107.966766,-9.956664,-0.001821,-0.010654,98.008540,6.356287,3.700977,0.926930,81.781871,82.476028,86.750781,87.750781,1.897819,1.894760,1.717508,1.717508,0.233548,1497.500000,350.000000,1.288470,36.718612,6.033414,124.341713,94.137594,83.062189,BASELINE
0.050050,10592.775703,105.080935,100.000000,0.000000,0.000000,93.926248,2,105.927757,13.614596,4.787815,35.000000,0.833152,1.092807,1.394933,-189.585012,74.600923,210.820062,-17.869997,107.948607,-10.062759,-0.001816,-0.010610,98.010309,6.331970,3.707471,0.932984,81.789963,82.591935,86.750976,87.750976,1.897900,1.895919,1.717510,1.717510,0.232957,1497.000000,350.000000,1.549376,36.718614,6.033417,124.811392,94.750997,84.359295,BASELINE
0.060060,10611.330843,105.239979,100.000000,0.000000,0.000000,94.312524,2,106.113308,13.670587,4.796202,35.000000,0.829823,1.093769,1.376880,-188.827430,74.666637,210.841167,-17.198050,107.930503,-10.168409,-0.001810,-0.010565,98.012100,6.219886,3.713966,0.923884,81.945222,82.749665,86.751171,87.751171,1.899452,1.897497,1.717512,1.717512,0.232367,1496.500000,350.000000,1.811355,36.718616,6.033420,124.805594,94.533587,86.183038,BASELINE
0.070070,10629.885984,105.399023,100.000000,0.000000,0.000000,94.699138,2,106.298860,13.726627,4.804588,35.000000,0.826507,1.094728,1.268470,-188.072876,74.732061,210.859490,-17.685054,107.912452,-10.273614,-0.001805,-0.010520,98.013911,6.610557,3.720460,0.958278,82.144420,83.372055,86.751366,87.751366,1.901444,1.903721,1.717514,1.717514,0.231776,1496.000000,350.000000,2.074408,36.718619,6.033423,125.400752,94.886294,85.384817,BASELINE
0.080080,10648.441124,105.558067,100.000000,0.000000,0.000000,95.086089,2,106.484411,13.782715,4.812975,35.000000,0.823204,1.095682,1.327852,-187.321337,74.797196,210.875048,-17.491414,107.894454,-10.378374,-0.001800,-0.010476,98.015742,6.342888,3.726954,0.956627,82.349310,83.114728,86.751562,87.751562,1.903493,1.901147,1.717516,1.717516,0.231186,1495.500000,350.000000,2.338536,36.718621,6.033426,124.500060,95.354315,85.479440,BASELINE
0.090090,10666.996265,105.717111,100.000000,0.000000,0.000000,95.473375,2,106.669963,13.838852,4.821362,35.000000,0.819915,1.096632,1.357304,-186.572802,74.862041,210.887855,-17.362050,107.876505,-10.482690,-0.001795,-0.010432,98.017594,6.403855,3.733449,0.943817,82.191665,82.731579,86.751757,87.751757,1.901917,1.897316,1.717518,1.717518,0.230596,1495.000000,350.000000,2.603740,36.718623,6.033429,124.814518,95.506032,86.561310,BASELINE
