Timestamp_s,Lap_ID,Setup_Type,Speed_kmh,Engine_RPM,Gear,Throttle_Pos_%,Brake_Pressure_bar,Lateral_Accel_g,Longitudinal_Accel_g,Glicko_Volatility_Sigma,Rear_Wheel_Slip_%,Engine_Temp_C,Tire_Temp_RR_C,Steering_Angle_deg,Rear_Suspension_mm,GPS_Latitude,GPS_Longitude
0.000000,1,BASELINE,91.919544,10553.023550,2,100.000000,0.000000,0.866463,0.000000,0.229091,13.703674,98.000000,85.000000,-15.000000,35.000000,36.718600,6.033400
0.010010,1,BASELINE,92.700971,10515.729780,2,100.000000,0.000000,0.872220,1.300994,0.228754,11.958811,98.000765,85.002019,-14.925112,66.906883,36.718601,6.033401
0.020020,1,BASELINE,93.237520,10498.636579,2,98.795934,0.000000,0.861498,1.300003,0.228416,10.485791,98.001546,85.168650,-14.850599,66.882570,36.718602,6.033402
0.030030,1,BASELINE,93.601823,10498.253438,2,100.000000,0.000000,0.901839,1.299007,0.228079,11.330066,98.002343,85.231995,-14.776457,66.858154,36.718602,6.033404
0.040040,1,BASELINE,93.866515,10511.089848,2,100.000000,0.000000,0.862532,1.298008,0.227741,11.532833,98.003155,85.067074,-14.702686,66.833636,36.718603,6.033405
0.050050,1,BASELINE,94.104229,10533.655301,2,100.000000,0.000000,0.834242,1.297004,0.227404,11.535656,98.003982,85.124364,-14.629283,66.809017,36.718604,6.033406
0.060060,1,BASELINE,94.545981,10570.906904,2,100.000000,0.000000,0.848385,1.295996,0.227067,9.726667,98.004825,85.197197,-14.556246,66.784296,36.718605,6.033407
0.070070,1,BASELINE,94.972993,10589.447885,2,99.598094,0.000000,0.870060,1.294984,0.226729,15.370015,98.005683,85.163289,-14.483574,66.759474,36.718606,6.033408
0.080080,1,BASELINE,95.525982,10606.880699,2,99.929814,0.000000,0.808506,1.293967,0.226392,13.018106,98.006557,85.201274,-14.411265,66.734552,36.718606,6.033410
0.090090,1,BASELINE,96.064108,10637.218449,2,100.000000,0.000000,0.857453,1.292947,0.226055,11.065912,98.007446,85.130778,-14.339316,66.709529,36.718607,6.033411
0.100100,1,BASELINE,96.656165,10676.253708,2,99.866959,0.000000,0.835375,1.291923,0.225717,12.829790,98.008350,85.173117,-14.267727,66.684406,36.718608,6.033412
0.110110,1,BASELINE,97.412024,10721.548019,2,100.000000,0.000000,0.846806,1.290894,0.225380,12.232072,98.009271,85.165382,-14.196496,66.659184,36.718609,6.033413
0.120120,1,BASELINE,97.677313,10741.276320,2,99.223587,0.000000,0.824827,1.289862,0.225043,12.487101,98.010206,85.276706,-14.125620,66.633862,36.718610,6.033414
0.130130,1,BASELINE,97.967550,10765.309003,2,99.276595,0.000000,0.827643,1.288825,0.224705,9.652639,98.011157,85.499156,-14.055097,66.608441,36.718610,6.033416
0.140140,1,BASELINE,98.392981,10786.999372,2,100.000000,0.000000,0.861800,1.287785,0.224368,7.229415,98.012124,85.601985,-13.984927,66.582923,36.718611,6.033417
0.150150,1,BASELINE,98.833320,10820.030516,2,99.615489,0.000000,0.821342,1.286740,0.224030,13.133763,98.013106,85.605345,-13.915108,66.557305,36.718612,6.033418
