Time_s,Lap_ID,Setup_Type,Speed_kmh,Engine_RPM,Gear,Throttle_Pos,Glicko_Volatility,Rear_Wheel_Slip
0.0000,1,BASELINE,90.0000,10000.0000,2,87.8538,0.3929,11.1311
0.0100,1,BASELINE,90.1877,10020.0250,2,94.2130,0.2657,10.5904
0.0200,1,BASELINE,90.3755,10040.0501,2,100.0000,0.2444,8.5102
0.0300,1,BASELINE,90.5632,10060.0751,2,89.4202,0.3616,7.9133
0.0401,1,BASELINE,90.7509,10080.1001,2,83.2909,0.4842,9.3512
0.0501,1,BASELINE,90.9387,10100.1252,2,92.7004,0.2960,5.8432
0.0601,1,BASELINE,91.1264,10120.1502,2,86.4006,0.4220,11.0285
0.0701,1,BASELINE,91.3141,10140.1752,2,94.4314,0.2614,14.2354
0.0801,1,BASELINE,91.5019,10160.2003,2,86.2674,0.4247,9.1838
0.0901,1,BASELINE,91.6896,10180.2253,2,100.0000,0.2938,9.5878
0.1001,1,BASELINE,91.8773,10200.2503,2,100.0000,0.5044,7.7470
0.1101,1,BASELINE,92.0651,10220.2753,2,98.5849,0.1783,7.9796
0.1202,1,BASELINE,92.2528,10240.3004,2,100.0000,0.4496,10.4328
0.1302,1,BASELINE,92.4406,10260.3254,2,93.6801,0.2764,8.7903
0.1402,1,BASELINE,92.6283,10280.3504,2,100.0000,0.3937,11.2190
0.1502,1,BASELINE,92.8160,10300.3755,2,92.2858,0.3043,10.9452
0.1602,1,BASELINE,93.0038,10320.4005,2,100.0000,0.1935,9.8930
0.1702,1,BASELINE,93.1915,10340.4255,2,93.5782,0.2784,6.8929
0.1802,1,BASELINE,93.3792,10360.4506,2,100.0000,0.3075,9.2945
0.1902,1,BASELINE,93.5670,10380.4756,2,100.0000,0.3888,8.9295
0.2003,1,BASELINE,93.7547,10400.5006,2,100.0000,0.5563,11.6812
0.2103,1,BASELINE,93.9424,10420.5257,2,98.5685,0.1786,10.4985
0.2203,1,BASELINE,94.1302,10440.5507,2,94.9055,0.2519,11.8088
0.2303,1,BASELINE,94.3179,10460.5757,2,94.9019,0.2520,9.2656
0.2403,1,BASELINE,94.5056,10480.6008,2,100.0000,0.1901,7.4498
0.2503,1,BASELINE,94.6934,10500.6258,2,100.0000,0.3461,9.3969
0.2603,1,BASELINE,94.8811,10520.6508,2,100.0000,0.3185,9.1412
0.2703,1,BASELINE,95.0688,10540.6758,2,99.4480,0.1610,8.9821
0.2804,1,BASELINE,95.2566,10560.7009,2,100.0000,0.1921,10.6219
0.2904,1,BASELINE,95.4443,10580.7259,2,98.6173,0.1777,11.7471
0.3004,1,BASELINE,95.6320,10600.7509,2,100.0000,0.2425,11.8527
0.3104,1,BASELINE,95.8198,10620.7760,2,94.0562,0.2689,6.6150
0.3204,1,BASELINE,96.0075,10640.8010,2,100.0000,0.5055,12.4573
0.3304,1,BASELINE,96.1952,10660.8260,2,87.6788,0.3964,12.0887
0.3404,1,BASELINE,96.3830,10680.8511,2,100.0000,0.2933,10.7922
0.3504,1,BASELINE,96.5707,10700.8761,2,100.0000,0.1536,13.9709
0.3605,1,BASELINE,96.7584,10720.9011,2,98.1176,0.1876,6.9167
0.3705,1,BASELINE,96.9462,10740.9262,2,100.0000,0.1877,11.3803
0.3805,1,BASELINE,97.1339,10760.9512,2,100.0000,0.1841,13.1338
0.3905,1,BASELINE,97.3217,10780.9762,2,70.4101,0.7418,2.6962
0.4005,1,BASELINE,97.5094,10801.0013,2,100.0000,0.1596,10.4588
0.4105,1,BASELINE,97.6971,10821.0263,2,86.9087,0.4118,9.8488
0.4205,1,BASELINE,97.8849,10841.0513,2,87.5132,0.3997,12.5650
0.4305,1,BASELINE,98.0726,10861.0763,2,100.0000,0.1692,10.7316
0.4406,1,BASELINE,98.2603,10881.1014,2,93.5627,0.2787,8.8599
0.4506,1,BASELINE,98.4481,10901.1264,2,100.0000,0.4498,11.1724
0.4606,1,BASELINE,98.6358,10921.1514,2,95.0147,0.2497,10.4456
