Table,Metric,Baseline,Optimized,Improvement_%
Core,RPM Mean,4246.93026914944,4015.0194919481573,5.460668353467675
Core,RPM Max,17605.305128386866,14988.312951179178,14.864793073015473
Core,RPM Std Dev,3770.5169251412376,3071.4874540446544,18.539353753740244
Core,Torque Mean (Nm),162.51659448564183,163.0159888535582,-0.30728823077848927
Core,Speed Mean (km/h),15.091462521053582,15.091056081980216,0.002693172201163452
Core,Speed Max (km/h),222.37659737957244,221.9655147454286,0.1848587661597166
Core,Throttle Mean (%),5.314117188428994,5.579392909578316,-4.9919057435717855
Core,Gear Mean,2.1279,2.1279,0.0
Dynamics,Longitudinal Accel (g),0.004269097683111318,0.004279327891658822,-0.23963397670601216
Dynamics,Lateral Accel (g),0.0911471184374614,0.08659164775269769,4.9979316547339305
Dynamics,Vertical Accel (g),5.684341886080802e-18,5.684341886080802e-18,0.0
Dynamics,Wheel Slip (%),6.261770637575927,3.757531045074007,39.99251549512787
Dynamics,Brake Pressure (bar),113.61897862590375,113.30089248611314,0.2799586333529042
Dynamics,Brake Temp (°C),339.4005033670833,338.81803471366385,0.17161690912091804
Dynamics,Brake Balance (%),55.0,55.0,0.0
Chassis,Tire Temp FL (°C),87.75550142968817,87.60751813804907,0.16863135555969797
Chassis,Tire Pressure FL (bar),2.2255126065059923,2.2252065790115334,0.013750876699786748
Chassis,Susp Travel FL (mm),18.0,18.0,0.0
Chassis,Susp Travel RL (mm),22.0,22.0,0.0
Aero,Aero Downforce (N),60.805533738385016,60.80094747549356,0.007542509060425366
Aero,Aero Drag (N),30.402766869192508,30.40047373774678,0.007542509060425366
Aero,Gear Ratio Efficiency (%),94.15276163005218,94.14275369676128,0.010629463350454884
Aero,Engine Efficiency (%),94.83098928352297,97.15345697544967,-2.449059858463626
Aero,Battery Voltage (V),14.664862683513967,14.650185367255812,0.10008492118139392
Aero,Battery Current (A),6.9742946220604125,6.981795059442639,-0.10754402830218937
