Table,Metric,Baseline,Optimized,Improvement_%
Core,RPM Mean,4246.997178047505,4015.1261184868954,5.459647130427555
Core,RPM Max,17636.253392360446,14985.07933725327,15.032524176907064
Core,RPM Std Dev,3770.6674446110246,3071.769149921711,18.535134825749953
Core,Torque Mean (Nm),162.52067377381164,163.01645371093457,-0.3050565356460035
Core,Speed Mean (km/h),15.090060163158208,15.092743942477897,-0.017785080315593022
Core,Speed Max (km/h),221.6850516404748,223.0274066836812,-0.6055234817471616
Core,Throttle Mean (%),5.315677581456582,5.581023921673499,-4.991768897770653
Core,Gear Mean,2.1279,2.1279,0.0
Dynamics,Longitudinal Accel (g),0.004300226285598713,0.004298396547076464,0.042549819491507976
Dynamics,Lateral Accel (g),0.09113836924503622,0.08658876948533407,4.99196968015745
Dynamics,Vertical Accel (g),5.684341886080802e-18,5.684341886080802e-18,0.0
Dynamics,Wheel Slip (%),6.2516041144315935,3.748968710220849,40.03189194967584
Dynamics,Brake Pressure (bar),113.61938209898923,113.30779802313184,0.2742349677504262
Dynamics,Brake Temp (°C),339.31897280687383,338.8236875272757,0.14596451106199457
Dynamics,Brake Balance (%),55.0,55.0,0.0
Chassis,Tire Temp FL (°C),87.72332052754118,87.59230517324424,0.1493506555714585
Chassis,Tire Pressure FL (bar),2.225442588805048,2.2251805335858013,0.011775420339530114
Chassis,Susp Travel FL (mm),18.0,18.0,0.0
Chassis,Susp Travel RL (mm),22.0,22.0,0.0
Aero,Aero Downforce (N),60.78980792238899,60.819961041932515,-0.049602261586389966
Aero,Aero Drag (N),30.394903961194494,30.409980520966258,-0.049602261586389966
Aero,Gear Ratio Efficiency (%),94.14398549524323,94.1504135101655,-0.006827855107751908
Aero,Engine Efficiency (%),94.83194077417416,97.15346295663315,-2.448038249040262
Aero,Battery Voltage (V),14.66484184921618,14.650158287351317,0.10012765235273774
Aero,Battery Current (A),6.974519208741678,6.982092479188042,-0.10858483889286108
